profiling binary stats to c:/leo.repo/leo-editor/leoProfile

reading settings in C:/leo.repo/leo-editor/leo/config/leoSettings.leo

===== FAST (leoAtFile) ===== 


===== FAST (leoFileCommands) ===== 

reading settings in C:/Users/edreamleo/.leo/myLeoSettings.leo
reading settings in c:/leo.repo/leo-editor/leo/core/leoPy.leo
reading settings in C:/leo.repo/leo-editor/leo/themes/EKRDark.leo

Leo 5.7.4 devel, build 20180525162844, Fri May 25 16:28:44 CDT 2018
Git repo info: branch = fast-read, commit = 7ae56de86066
Python 3.6.3, PyQt version 5.6.2
Windows 10 AMD64 (build 10.0.17134) SP0
** isPython3: True
** caching enabled

reading settings in c:/leo.repo/leo-editor/leo/core/leoPy.leo
readExternalFiles 1.401 sec.
wrote recent file: C:/Users/edreamleo/.leo/.leoRecentFiles.txt
Wed Jun  6 18:42:07 2018    c:/leo.repo/leo-editor/leoProfile

         11685846 function calls (11653798 primitive calls) in 8.145 seconds

   Ordered by: internal time
   List reduced from 6049 to 200 due to restriction <200>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6405    0.006    0.000    0.027    0.000 leoConfig.py:1728(getShortcut)
        1    0.006    0.006    0.006    0.006 leoColorizer.py:396(addLeoRules)
  794/141    0.006    0.000    2.121    0.015 <frozen importlib._bootstrap>:966(_find_and_load)
     5220    0.006    0.000    0.015    0.000 leoAtFile.py:4321(os)
       99    0.006    0.000    0.009    0.000 {built-in method builtins.sorted}
     4252    0.006    0.000    0.062    0.000 leoKeys.py:2956(registerCommandShortcut)
     1928    0.006    0.000    0.369    0.000 leoConfig.py:1898(visitNode)
        7    0.006    0.001    0.059    0.008 leoKeys.py:2264(makeBindingsFromCommandsDict)
     2294    0.006    0.000    0.029    0.000 leoAtFile.py:3705(putCodeLine)
        1    0.006    0.006    1.401    1.401 leoAtFile.py:703(readAll)
    12884    0.006    0.000    0.006    0.000 enum.py:515(__new__)
      167    0.006    0.000    0.049    0.000 leoGlobals.py:3683(readFileIntoString)
      693    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
     4605    0.005    0.000    0.050    0.000 leoGlobals.py:6641(os_path_basename)
        1    0.005    0.005    0.037    0.037 qt_gui.py:46(__init__)
    19808    0.005    0.000    0.005    0.000 leoNodes.py:2621(__get_gnx)
      749    0.005    0.000    0.163    0.000 <frozen importlib._bootstrap>:870(_find_spec)
    15776    0.005    0.000    0.023    0.000 leoNodes.py:1572(__get_b)
    15776    0.005    0.000    0.018    0.000 leoNodes.py:651(bodyString)
3137/2629    0.005    0.000    0.007    0.000 proxy_metaclass.py:77(__getattribute__)
    12544    0.005    0.000    0.007    0.000 leoNodes.py:45(check_gnx)
      693    0.005    0.000    0.221    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     7931    0.005    0.000    0.032    0.000 leoGlobals.py:6792(<listcomp>)
        1    0.005    0.005    0.103    0.103 backlink.py:116(fixIDs)
      171    0.005    0.000    0.027    0.000 leoExternalFiles.py:334(checksum)
        2    0.005    0.002    0.005    0.002 {built-in method minimumSizeHint}
     1386    0.005    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
     4028    0.005    0.000    0.056    0.000 leoNodes.py:2014(anyAtFileNodeName)
    14087    0.005    0.000    0.336    0.000 re.py:231(compile)
     6570    0.005    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.005    0.005    0.005    0.005 qt_gui.py:879(getIconImage)
    13517    0.005    0.000    0.007    0.000 sre_parse.py:163(__getitem__)
    17694    0.005    0.000    0.005    0.000 leoGlobals.py:367(__hash__)
     4252    0.005    0.000    0.068    0.000 leoKeys.py:2913(registerCommand)
       84    0.005    0.000    0.005    0.000 {built-in method nt.listdir}
     4558    0.005    0.000    0.008    0.000 leoConfig.py:1129(canonicalizeSettingName)
    12894    0.005    0.000    0.013    0.000 enum.py:265(__call__)
       80    0.004    0.000    0.007    0.000 qt_frame.py:4354(__init__)
    23391    0.004    0.000    0.004    0.000 leoNodes.py:776(hasBack)
    18158    0.004    0.000    0.004    0.000 leoGlobals.py:1866(_checkKeyType)
        1    0.004    0.004    0.064    0.064 nodetags.py:175(get_tagged_gnxes)
      165    0.004    0.000    0.667    0.004 leoAtFile.py:464(read)
        6    0.004    0.001    0.005    0.001 leoFileCommands.py:2658(scanTnodes)
        1    0.004    0.004    0.064    0.064 nodetags.py:140(initialize_taglist)
     1928    0.004    0.000    0.017    0.000 leoConfig.py:713(parseHeadline)
       82    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
    16757    0.004    0.000    0.004    0.000 {built-in method builtins.min}
        2    0.004    0.002    0.022    0.011 QNCalendarWidget.py:20(__init__)
     6570    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
 1193/403    0.004    0.000    0.232    0.001 sre_parse.py:407(_parse_sub)
    10438    0.004    0.000    0.420    0.000 leoNodes.py:631(isAtIgnoreNode)
     1324    0.004    0.000    0.019    0.000 leoKeys.py:2025(bindKey)
      876    0.004    0.000    0.227    0.000 leoConfig.py:845(set)


